地质时代,标准化石中文名,拉丁学名,地层考点说明
ϵ1​ 早寒武,莱德利基虫,Redlichia,华南下寒武统标志
ϵ1​ 早寒武,古油栉虫,Palaeolenus,早寒武共生组合
ϵ2​ 中寒武,球接子,Agnostus,全球广布浮游型三叶虫
ϵ2​ 中寒武,叉尾虫,Dorypyge,中寒武底界常见分子
ϵ2​ 中寒武,华雷氏虫,Bailiella,华北中寒武标准化石
ϵ21​ 中寒武早期,山东盾壳虫,Shantungaspis,中寒武早期划分标志
ϵ23​ 中寒武晚期,德氏虫,Damesella,中寒武顶界化石
ϵ3​ 晚寒武,济南虫,Tsinania,上寒武统上部分子
ϵ31​ 晚寒武早期,蝴蝶虫,Blackwelderia,晚寒武早期标志性化石
ϵ31​ 晚寒武早期,蝙蝠虫,Drepanura,蝴蝶虫共生，晚寒武典型
O1​ 早奥陶,古等称虫,Eoisotelus,下奥陶统底界化石
O3​ 晚奥陶,南京三瘤虫,Nankinolithus,江南区上奥陶统标志
O1​−S1​ 早奥陶 - 早志留,小达尔曼虫,Dalmanitina,奥陶 / 志留系界线附近化石
S2​ 中志留,王冠虫,Coronocephalus,中志留统标准化石
